id_empleado,date,score_satisfacion,score_inclusion,work_life_balance,percepcion_equidad
119,2022-10-01,2,2,3,4
119,2023-10-01,2,3,5,4
119,2024-10-01,4,3,5,4
120,2021-02-01,4,4,4,3
120,2022-02-01,3,2,4,3
120,2023-02-01,4,4,4,3
120,2024-02-01,3,2,3,3
120,2025-02-01,4,4,3,3
121,2021-09-01,2,5,4,4
121,2022-09-01,4,5,3,4
121,2023-09-01,3,3,4,4
121,2024-09-01,4,5,4,4
122,2021-10-01,2,3,5,3
122,2022-10-01,2,5,5,3
122,2023-10-01,2,4,3,3
122,2024-10-01,2,5,3,3
123,2021-11-01,3,2,5,4
123,2022-11-01,3,3,4,4
123,2023-11-01,4,4,5,4
123,2024-11-01,4,4,3,4
124,2021-06-01,2,4,3,4
124,2022-06-01,2,2,5,4
124,2023-06-01,3,5,4,4
124,2024-06-01,2,5,3,4
125,2021-06-01,3,5,5,4
125,2022-06-01,5,3,5,4
125,2023-06-01,3,2,4,4
125,2024-06-01,5,5,5,4
126,2021-11-01,3,2,3,3
126,2022-11-01,2,2,3,3
126,2023-11-01,3,5,5,3
126,2024-11-01,3,4,4,3
127,2021-06-01,3,4,3,4
127,2022-06-01,5,2,5,4
127,2023-06-01,4,3,5,4
127,2024-06-01,3,3,4,4
128,2021-11-01,4,2,3,4
128,2022-11-01,4,4,5,4
128,2023-11-01,2,4,4,4
128,2024-11-01,2,3,4,4
129,2021-04-01,4,3,5,3
129,2022-04-01,3,2,4,3
129,2023-04-01,2,4,5,3
129,2024-04-01,4,2,4,3
130,2021-05-01,2,5,4,4
130,2022-05-01,4,5,5,4
130,2023-05-01,4,4,5,4
130,2024-05-01,4,2,5,4
131,2021-01-01,2,5,3,4
131,2022-01-01,3,3,3,4
131,2023-01-01,3,3,5,4
131,2024-01-01,2,4,3,4
131,2025-01-01,2,4,3,4
132,2021-01-01,4,3,3,4
132,2022-01-01,4,3,5,4
132,2023-01-01,4,5,5,4
132,2024-01-01,4,2,4,4
132,2025-01-01,2,5,3,4
133,2021-01-01,2,5,3,4
133,2022-01-01,3,5,1,4
133,2023-01-01,2,2,2,4
133,2024-01-01,3,5,2,4
133,2025-01-01,2,3,2,4
134,2021-12-01,3,4,3,4
134,2022-12-01,3,2,3,4
134,2023-12-01,3,2,3,4
134,2024-12-01,2,5,4,4
135,2021-08-01,5,2,5,4
135,2022-08-01,4,4,3,4
135,2023-08-01,3,2,3,4
135,2024-08-01,5,2,5,4
136,2021-07-01,4,3,3,4
136,2022-07-01,4,5,5,4
136,2023-07-01,3,4,3,4
136,2024-07-01,3,3,5,4
137,2021-11-01,2,5,5,3
137,2022-11-01,4,2,5,3
137,2023-11-01,4,3,4,3
137,2024-11-01,3,4,4,3
138,2021-07-01,5,3,5,4
138,2022-07-01,3,2,3,4
138,2023-07-01,4,4,5,4
138,2024-07-01,3,5,5,4
139,2021-09-01,3,4,5,4
139,2022-09-01,5,3,4,4
139,2023-09-01,5,4,4,4
139,2024-09-01,5,4,4,4
140,2021-07-01,2,5,3,4
140,2022-07-01,2,2,3,4
140,2023-07-01,3,5,4,4
140,2024-07-01,2,5,4,4
141,2021-09-01,5,3,4,4
141,2022-09-01,4,4,3,4
141,2023-09-01,5,5,3,4
141,2024-09-01,5,4,3,4
142,2021-08-01,2,2,4,4
142,2022-08-01,2,5,4,4
142,2023-08-01,3,2,5,4
142,2024-08-01,4,5,3,4
143,2021-03-01,4,5,3,4
143,2022-03-01,5,5,4,4
143,2023-03-01,4,4,4,4
143,2024-03-01,4,4,4,4
143,2025-03-01,5,5,4,4
144,2025-03-01,2,2,5,4
145,2021-02-01,2,2,2,4
145,2022-02-01,2,3,1,4
145,2023-02-01,2,2,2,4
145,2024-02-01,4,3,1,4
145,2025-02-01,3,2,1,4
146,2021-05-01,4,5,3,3
146,2022-05-01,2,5,4,3
146,2023-05-01,4,4,4,3
146,2024-05-01,3,2,4,3
147,2021-11-01,3,2,3,4
147,2022-11-01,4,2,3,4
147,2023-11-01,4,3,5,4
147,2024-11-01,2,2,4,4
148,2021-03-01,3,2,4,4
148,2022-03-01,2,3,5,4
148,2023-03-01,4,5,3,4
148,2024-03-01,3,4,5,4
148,2025-03-01,3,2,3,4
149,2021-06-01,4,3,5,4
149,2022-06-01,3,4,3,4
149,2023-06-01,2,2,3,4
149,2024-06-01,4,4,3,4
150,2021-03-01,3,3,3,4
150,2022-03-01,3,3,5,4
150,2023-03-01,3,3,5,4
150,2024-03-01,3,4,5,4
150,2025-03-01,3,2,3,4
151,2021-08-01,2,2,5,4
151,2022-08-01,4,2,4,4
151,2023-08-01,4,3,4,4
151,2024-08-01,3,5,3,4
152,2021-03-01,5,4,5,4
152,2022-03-01,4,3,4,4
152,2023-03-01,5,2,5,4
152,2024-03-01,3,2,3,4
152,2025-03-01,3,5,3,4
153,2025-02-01,5,3,2,4
154,2021-06-01,2,4,4,4
154,2022-06-01,2,5,5,4
154,2023-06-01,2,5,5,4
154,2024-06-01,4,4,5,4
155,2021-03-01,3,5,4,4
155,2022-03-01,3,4,4,4
155,2023-03-01,3,4,4,4
155,2024-03-01,4,3,5,4
155,2025-03-01,4,4,3,4
156,2021-09-01,3,4,2,4
156,2022-09-01,4,3,2,4
156,2023-09-01,3,4,1,4
156,2024-09-01,4,3,2,4
157,2021-05-01,2,2,4,4
157,2022-05-01,4,3,4,4
157,2023-05-01,3,3,5,4
157,2024-05-01,2,3,4,4
158,2021-03-01,2,2,4,4
158,2022-03-01,3,4,3,4
158,2023-03-01,3,5,5,4
158,2024-03-01,3,5,5,4
158,2025-03-01,4,5,3,4
159,2023-10-01,2,3,5,4
159,2024-10-01,4,5,5,4
160,2021-02-01,4,4,4,4
160,2022-02-01,2,3,4,4
160,2023-02-01,2,2,4,4
160,2024-02-01,2,4,5,4
160,2025-02-01,2,5,4,4
161,2021-12-01,3,5,4,4
161,2022-12-01,3,5,3,4
161,2023-12-01,4,5,5,4
161,2024-12-01,4,5,3,4
162,2021-06-01,2,3,5,4
162,2022-06-01,3,2,5,4
162,2023-06-01,2,3,3,4
162,2024-06-01,4,4,3,4
163,2021-11-01,3,4,5,4
163,2022-11-01,2,5,5,4
163,2023-11-01,4,3,3,4
163,2024-11-01,2,3,3,4
164,2021-05-01,2,2,5,3
164,2022-05-01,3,5,4,3
164,2023-05-01,4,2,5,3
164,2024-05-01,2,2,5,3
165,2023-04-01,4,2,4,4
165,2024-04-01,2,2,5,4
166,2021-10-01,4,4,4,4
166,2022-10-01,2,3,4,4
166,2023-10-01,3,3,4,4
166,2024-10-01,3,5,4,4
167,2021-02-01,4,2,3,4
167,2022-02-01,4,5,5,4
167,2023-02-01,4,2,5,4
167,2024-02-01,3,2,5,4
167,2025-02-01,4,5,5,4
168,2021-02-01,2,5,5,4
168,2022-02-01,3,5,3,4
168,2023-02-01,3,3,4,4
168,2024-02-01,2,2,3,4
168,2025-02-01,2,2,5,4
169,2021-07-01,4,4,5,4
169,2022-07-01,3,4,5,4
169,2023-07-01,3,5,3,4
169,2024-07-01,2,5,3,4
170,2021-06-01,3,4,5,3
170,2022-06-01,4,3,4,3
170,2023-06-01,4,3,5,3
170,2024-06-01,4,3,3,3
171,2021-02-01,3,2,5,4
171,2022-02-01,2,2,4,4
171,2023-02-01,2,4,5,4
171,2024-02-01,2,3,3,4
171,2025-02-01,3,2,5,4
172,2021-10-01,2,4,4,3
172,2022-10-01,3,4,4,3
172,2023-10-01,2,3,3,3
172,2024-10-01,3,3,5,3
173,2021-01-01,4,5,3,4
173,2022-01-01,3,4,5,4
173,2023-01-01,2,2,5,4
173,2024-01-01,2,4,4,4
173,2025-01-01,3,5,5,4
174,2022-12-01,2,5,3,4
174,2023-12-01,4,4,5,4
174,2024-12-01,2,3,3,4
175,2021-08-01,4,2,5,4
175,2022-08-01,2,4,3,4
175,2023-08-01,4,5,4,4
175,2024-08-01,3,3,3,4
176,2024-03-01,2,5,4,4
176,2025-03-01,4,3,3,4
177,2021-04-01,3,4,3,3
177,2022-04-01,2,2,5,3
177,2023-04-01,2,4,3,3
177,2024-04-01,3,5,5,3
178,2021-05-01,3,3,4,3
178,2022-05-01,4,5,3,3
178,2023-05-01,2,3,5,3
178,2024-05-01,4,5,5,3
179,2021-12-01,4,5,2,4
179,2022-12-01,3,4,3,4
179,2023-12-01,3,4,3,4
179,2024-12-01,4,4,3,4
180,2021-05-01,4,5,5,4
180,2022-05-01,4,5,3,4
180,2023-05-01,3,5,5,4
180,2024-05-01,3,2,3,4
181,2021-05-01,2,5,3,3
181,2022-05-01,4,3,3,3
181,2023-05-01,4,3,5,3
181,2024-05-01,4,4,5,3
182,2021-03-01,3,2,5,4
182,2022-03-01,2,4,3,4
182,2023-03-01,3,5,5,4
182,2024-03-01,4,3,4,4
182,2025-03-01,2,5,5,4
183,2021-06-01,2,3,5,4
183,2022-06-01,2,3,3,4
183,2023-06-01,4,3,3,4
183,2024-06-01,4,4,5,4
184,2021-10-01,3,3,3,4
184,2022-10-01,3,3,4,4
184,2023-10-01,4,5,5,4
184,2024-10-01,3,3,5,4
185,2021-11-01,4,3,4,4
185,2022-11-01,3,4,5,4
185,2023-11-01,3,5,3,4
185,2024-11-01,2,2,3,4
186,2021-04-01,3,5,3,4
186,2022-04-01,4,2,3,4
186,2023-04-01,3,3,4,4
186,2024-04-01,2,4,5,4
187,2021-12-01,2,4,5,3
187,2022-12-01,2,4,5,3
187,2023-12-01,2,3,3,3
187,2024-12-01,3,3,4,3
188,2021-07-01,4,3,3,4
188,2022-07-01,2,2,3,4
188,2023-07-01,3,4,4,4
188,2024-07-01,4,2,4,4
189,2021-02-01,2,4,3,4
189,2022-02-01,2,2,3,4
189,2023-02-01,4,4,5,4
189,2024-02-01,3,2,5,4
189,2025-02-01,4,3,5,4
190,2021-04-01,3,5,4,4
190,2022-04-01,2,3,5,4
190,2023-04-01,3,5,4,4
190,2024-04-01,3,3,4,4
191,2021-10-01,4,2,4,3
191,2022-10-01,4,3,3,3
191,2023-10-01,2,5,5,3
191,2024-10-01,4,2,3,3
192,2021-09-01,3,3,4,4
192,2022-09-01,3,2,4,4
192,2023-09-01,4,3,3,4
192,2024-09-01,4,5,3,4
193,2021-09-01,2,2,4,4
193,2022-09-01,4,4,3,4
193,2023-09-01,3,5,3,4
193,2024-09-01,3,4,4,4
194,2021-08-01,4,5,5,4
194,2022-08-01,3,2,5,4
194,2023-08-01,4,4,4,4
194,2024-08-01,3,2,5,4
195,2021-06-01,4,4,3,4
195,2022-06-01,2,4,3,4
195,2023-06-01,2,4,4,4
195,2024-06-01,4,2,4,4
196,2021-02-01,3,4,4,4
196,2022-02-01,4,5,4,4
196,2023-02-01,3,5,5,4
196,2024-02-01,3,2,4,4
196,2025-02-01,2,3,4,4
197,2023-06-01,4,5,4,3
197,2024-06-01,3,4,4,3
198,2024-06-01,4,5,3,4
199,2021-01-01,5,2,4,4
199,2022-01-01,5,3,4,4
199,2023-01-01,4,2,3,4
199,2024-01-01,4,5,3,4
199,2025-01-01,5,5,3,4
200,2021-03-01,3,3,3,3
200,2022-03-01,2,4,3,3
200,2023-03-01,4,2,3,3
200,2024-03-01,2,5,5,3
200,2025-03-01,3,2,4,3
201,2021-01-01,2,5,3,4
201,2022-01-01,3,5,3,4
201,2023-01-01,2,4,3,4
201,2024-01-01,2,5,5,4
201,2025-01-01,3,4,3,4
202,2021-06-01,3,3,3,4
202,2022-06-01,2,2,5,4
202,2023-06-01,4,4,4,4
202,2024-06-01,4,5,5,4
203,2021-01-01,4,3,3,4
203,2022-01-01,5,5,5,4
203,2023-01-01,3,5,5,4
203,2024-01-01,4,2,3,4
203,2025-01-01,5,4,3,4
204,2021-11-01,3,5,5,3
